,repo,github_org,github_proj,date_start,date_end,user,commits,lines_add,lines_del
0,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,aaudiber,46,599,512
1,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,apc999,30,557,413
2,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,calvinjia,30,737,241
3,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,gpang,17,480,145
4,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,ifcharming,14,272,53
5,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,jsimsa,16,227,139
6,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,luoli523,1,1,1
7,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,madanadit,26,695,439
8,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,peisun1115,8,1,530
9,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,pfxuan,7,104,67
10,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,waltonryan,1,1,1
11,Alluxio,Alluxio,alluxio,2016-06-21,2016-07-05,xhad1234,25,335,211
12,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,Lichongjie,2,4,0
13,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,ParanoiaW,2,2,7
14,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,Popeye13,7,40,21
15,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,WilliamZapata,2,40,3
16,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,aaudiber,16,3,2
17,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,apc999,20,1,1
18,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,bf8086,15,1,763
19,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,calvinjia,7,122,44
20,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,chenminzoe,5,31,23
21,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,gpang,1,11,1
22,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,ifcharming,2,11,1
23,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,madanadit,22,11,10
24,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,nika11,2,13,13
25,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,riversand9,38,1,738
26,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,whatbeg,3,36,20
27,Alluxio,Alluxio,alluxio,2017-08-01,2017-08-15,yupeng9,5,298,195
28,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,LuQQiu,17,40,19
29,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,Xenorith,1,45,93
30,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,ZacBlanco,7,145,40
31,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,apc999,4,5,68
32,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,bf8086,3,132,42
33,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,bradyoo,7,228,182
34,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,calvinjia,4,585,207
35,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,ggezer,8,1,1
36,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,gpang,8,6,1
37,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,haoyuan,1,2,2
38,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,jiacheliu3,3,2,40
39,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,madanadit,3,579,306
40,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,ns1123,1,11,5
41,Alluxio,Alluxio,alluxio,2020-01-26,2020-02-09,yuzhu,7,621,379
42,Alluxio,Alluxio,alluxio,2020-08-21,2020-09-04,LuQQiu,1,26,26
43,Alluxio,Alluxio,alluxio,2020-08-21,2020-09-04,Xenorith,3,3,194
44,Alluxio,Alluxio,alluxio,2020-08-21,2020-09-04,ZacBlanco,1,111,3
45,Alluxio,Alluxio,alluxio,2020-08-21,2020-09-04,apc999,1,198,132
46,Alluxio,Alluxio,alluxio,2020-08-21,2020-09-04,bradyoo,12,16,235
47,Alluxio,Alluxio,alluxio,2020-08-21,2020-09-04,gpang,4,48,15
48,Alluxio,Alluxio,alluxio,2020-08-21,2020-09-04,yuzhu,1,7,6
49,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,HelloHorizon,1,23,15
50,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,LuQQiu,2,192,236
51,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,ZhuTopher,2,301,5
52,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,apc999,1,3,2
53,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,jenoudet,2,23,17
54,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,ljl1988com,1,18,6
55,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,maobaolong,2,529,49
56,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,ssz1997,4,27,4
57,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,tieujason330,3,64,35
58,Alluxio,Alluxio,alluxio,2022-01-19,2022-02-02,yuzhu,3,24,34
59,Angel ML,Angel-ML,angel,2019-02-18,2019-03-04,bluesjjw,14,33,177
60,Angel ML,Angel-ML,angel,2019-02-18,2019-03-04,paynie,3,9,2
61,Angel ML,Angel-ML,angel,2019-02-18,2019-03-04,rachelsunrh,5,302,61
62,Angel ML,Angel-ML,angel,2021-06-14,2021-06-28,ouyangwen-it,2,631,87
63,Caffe,BVLC,caffe,2014-10-19,2014-11-02,PatWie,1,51,8
64,Caffe,BVLC,caffe,2014-10-19,2014-11-02,Yangqing,3,23,13
65,Caffe,BVLC,caffe,2014-10-19,2014-11-02,baeuml,1,1,1
66,Caffe,BVLC,caffe,2014-10-19,2014-11-02,cNikolaou,2,18,10
67,Caffe,BVLC,caffe,2014-10-19,2014-11-02,dgolden1,4,266,67
68,Caffe,BVLC,caffe,2014-10-19,2014-11-02,jeffdonahue,4,636,35
69,Caffe,BVLC,caffe,2014-10-19,2014-11-02,mtamburrano,1,101,1
70,Caffe,BVLC,caffe,2014-10-19,2014-11-02,shelhamer,5,49,43
71,Caffe,BVLC,caffe,2015-02-10,2015-02-24,BlGene,1,25,3
72,Caffe,BVLC,caffe,2015-02-10,2015-02-24,boechat107,1,14,14
73,Caffe,BVLC,caffe,2015-02-10,2015-02-24,ducha-aiki,1,1,1
74,Caffe,BVLC,caffe,2015-02-10,2015-02-24,erictzeng,2,54,23
75,Caffe,BVLC,caffe,2015-02-10,2015-02-24,forresti,1,1,1
76,Caffe,BVLC,caffe,2015-02-10,2015-02-24,gustavla,1,2,1
77,Caffe,BVLC,caffe,2015-02-10,2015-02-24,jeffdonahue,7,1,75
78,Caffe,BVLC,caffe,2015-02-10,2015-02-24,jsupancic,1,1,1
79,Caffe,BVLC,caffe,2015-02-10,2015-02-24,longjon,4,33,33
80,Caffe,BVLC,caffe,2015-02-10,2015-02-24,lukeyeager,1,9,4
81,Caffe,BVLC,caffe,2015-02-10,2015-02-24,philkr,6,321,177
82,Caffe,BVLC,caffe,2015-02-10,2015-02-24,sergeyk,1,1,1
83,Caffe,BVLC,caffe,2015-02-10,2015-02-24,shelhamer,18,1,1
84,Caffe,BVLC,caffe,2015-02-10,2015-02-24,tnarihi,6,648,27
85,Caffe,BVLC,caffe,2015-07-16,2015-07-30,erictzeng,2,506,136
86,Caffe,BVLC,caffe,2015-07-16,2015-07-30,jeffdonahue,3,427,116
87,Caffe,BVLC,caffe,2015-07-16,2015-07-30,longjon,7,68,13
88,Caffe,BVLC,caffe,2015-07-16,2015-07-30,philkr,1,14,0
89,Caffe,BVLC,caffe,2015-07-16,2015-07-30,shelhamer,4,15,15
90,Caffe,BVLC,caffe,2018-03-05,2018-03-19,anmikh,1,308,1
91,TPOT,EpistasisLab,tpot,2016-01-04,2016-01-18,bartleyn,12,1,186
92,TPOT,EpistasisLab,tpot,2016-06-05,2016-06-19,AkshayVarik,1,42,0
93,TPOT,EpistasisLab,tpot,2016-06-05,2016-06-19,rhiever,3,10,10
94,TPOT,EpistasisLab,tpot,2018-06-03,2018-06-17,alexantoinefortin,1,2,2
95,TPOT,EpistasisLab,tpot,2018-06-03,2018-06-17,joseortiz3,5,22,8
96,TPOT,EpistasisLab,tpot,2018-06-03,2018-06-17,weixuanfu,7,3,2
97,TPOT,EpistasisLab,tpot,2020-07-26,2020-08-09,beckernick,3,24,14
98,TPOT,EpistasisLab,tpot,2020-07-26,2020-08-09,weixuanfu,1,1,1
99,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,PossibleDream,3,152,1
100,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,happycooperxu,1,1,1
101,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,huttuh,4,1,436
102,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,jarviszeng-zjc,11,966,858
103,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,mgqa34,1,2,2
104,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,nemirorox,5,690,868
105,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,talkingwallace,3,64,153
106,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,tanmc123,4,133,119
107,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,weiwee,6,145,597
108,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,zazd,1,84,13
109,FedAI (FATE),FederatedAI,FATE,2020-03-30,2020-04-13,zhihuiwan,5,4,15
110,FedAI (FATE),FederatedAI,FATE,2020-08-12,2020-08-26,asfdghf,2,1,20
111,FedAI (FATE),FederatedAI,FATE,2020-08-12,2020-08-26,huttuh,2,8,2
112,FedAI (FATE),FederatedAI,FATE,2020-08-12,2020-08-26,izhfeng00,13,372,169
