Name,Cat,SubCat,OSS,Github,Series,$$$ (M),Started,HQ,Change in 2020,Website,Description,IF ACQ
H2O,All-in-one,AI Apps platform,OSS,https://github.com/h2oai/h2o-3,D,151.1,2012,Bay Area,,https://www.h2o.ai/,H2O.ai is the creator of H2O the leading open source machine learning and artificial intelligence platform trusted by data scientists across 14K enterprises,
Snorkel AI,All-in-one,AI Apps platform,OSS,https://github.com/snorkel-team/snorkel,A,15.3,2019,Bay Area,Raised 15M,https://snorkel.ai,Programmatically Building and Managing Training Data,
kedro,All-in-one,AI Apps platform,OSS,https://github.com/kedro-org/kedro,McKinsey,,2019,UK,,,"Kedro is an open source development workflow tool that helps structure reproducible, scaleable, deployable, robust and versioned data pipelines.",
MLFlow,All-in-one,Experiment tracking,OSS,https://github.com/mlflow/mlflow,Databricks,,2018,Bay Area,,https://mlflow.org/,An open source platform for the machine learning lifecycle,
Polyaxon,All-in-one,Serving,OSS,https://github.com/polyaxon/polyaxon,,0,2016,Germany,,https://polyaxon.com/,A platform for reproducing and managing the whole life cycle of machine learning and deep learning applications.,
Elementl,All-in-one,Workflow orchestration,OSS,https://github.com/dagster-io/dagster,,1.8,2018,Bay Area,Raised 1.8M,https://www.elementl.com/,"Building Dagster, the data orchestrator. Dagster is a data orchestrator for machine learning, analytics, and ETL",
Scrapinghub,Data pipeline,Data generation,OSS,https://github.com/scrapinghub/splash,,0,2010,Ireland,,https://scrapinghub.com/,Turn websites into data with the world's leading web scraping services & tools from the creators of Scrapy. Data extraction trusted by industry leaders.,ELI5
Alluxio,Data pipeline,Data management,OSS,https://github.com/Alluxio/alluxio,B,23,2015,Bay Area,Raised 7M,https://www.alluxio.io/,an open source data orchestration layer that brings data close to compute for big data and AI/ML workloads in the cloud.,
Spark,Data pipeline,Data processing,OSS,https://github.com/apache/spark,Apache,,2009,,,https://spark.apache.org/,"Apache Spark is a unified analytics engine for big data processing, with built-in modules for streaming, SQL, machine learning and graph processing.",
Dask,Data pipeline,Data processing,OSS,https://github.com/dask/dask,Seed,5,2015,Remote,Became a startup (Coiled),https://dask.org/,"Dask natively scales Python. Dask provides advanced parallelism for analytics, enabling performance at scale for the tools you love",
Vaex,Data pipeline,Data processing,OSS,https://github.com/vaexio/vaex,,0,2015,Netherlands,,https://vaex.io/,"Power up your business with our data driven solutions. With our unique, state-of-the-art technology, we provide fast and scalable solutions that will make you more agile, while limiting unnecessary resources.",Link
Datatable,Data pipeline,Data processing,OSS,https://github.com/h2oai/datatable,H2O,,2017,Bay Area,,https://datatable.readthedocs.io/en/latest/,"Python library for efficient multi-threaded data processing, with the support for out-of-memory datasets.",
